Sr No	Gene ID	Specie	Gene name	Gene Description
S000003279	YGR047C	S. cerevisiae	TFC4	Transcription Factor class C
S000003280	YGR048W	S. cerevisiae	UFD1	Ubiquitin Fusion Degradation protein
S000003284	YGR052W	S. cerevisiae	FMP48	Found in Mitochondrial Proteome
S000003286	YGR054W	S. cerevisiae		
S000003287	YGR055W	S. cerevisiae	MUP1	Methionine UPtake
S000003288	YGR056W	S. cerevisiae	RSC1	Remodel the Structure of Chromatin
S000003289	YGR057C	S. cerevisiae	LST7	Lethal with Sec Thirteen
S000003290	YGR058W	S. cerevisiae	PEF1	Penta-EF-Hand protein
S000003291	YGR059W	S. cerevisiae	SPR3	SPorulation Regulated
S000003292	YGR060W	S. cerevisiae	ERG25	ERGosterol biosynthesis
S000003293	YGR061C	S. cerevisiae	ADE6	ADEnine requiring
S000003294	YGR062C	S. cerevisiae	COX18	Cytochrome c OXidase
S000003295	YGR063C	S. cerevisiae	SPT4	SuPpressor of Ty's
S000003297	YGR065C	S. cerevisiae	VHT1	Vitamin H Transporter
S000003298	YGR066C	S. cerevisiae	GID10	Glucose Induced Degradation deficient
S000003300	YGR068C	S. cerevisiae	ART5	Arrestin-Related Trafficking adaptors
S000003302	YGR070W	S. cerevisiae	ROM1	RhO1 Multicopy suppressor
S000003306	YGR074W	S. cerevisiae	SMD1	snRNA Sm binding site protein D1
S000003308	YGR076C	S. cerevisiae	MRPL25	Mitochondrial Ribosomal Protein, Large subunit
S000003310	YGR078C	S. cerevisiae	PAC10	Perish in the Absence of Cin8p
S000003312	YGR080W	S. cerevisiae	TWF1	TWinFilin
S000003314	YGR082W	S. cerevisiae	TOM20	Translocase of the Outer Mitochondrial membrane
S000003315	YGR083C	S. cerevisiae	GCD2	General Control Derepressed
S000003317	YGR085C	S. cerevisiae	RPL11B	Ribosomal Protein of the Large subunit
S000003318	YGR086C	S. cerevisiae	PIL1	Phosphorylation Inhibited by Long chain bases
S000003319	YGR087C	S. cerevisiae	PDC6	Pyruvate DeCarboxylase
S000003320	YGR088W	S. cerevisiae	CTT1	CaTalase T
S000003321	YGR089W	S. cerevisiae	NNF2	
S000003322	YGR090W	S. cerevisiae	UTP22	U Three Protein
S000003323	YGR091W	S. cerevisiae	PRP31	Pre-mRNA Processing
S000003324	YGR092W	S. cerevisiae	DBF2	DumbBell Former
S000003325	YGR093W	S. cerevisiae	DRN1	Debranching enzyme-associated RiboNuclease
S000003326	YGR094W	S. cerevisiae	VAS1	VAlyl-tRNA Synthetase
S000003327	YGR095C	S. cerevisiae	RRP46	Ribosomal RNA Processing
S000003328	YGR096W	S. cerevisiae	TPC1	Thiamine Pyrophosphate Carrier
S000003329	YGR097W	S. cerevisiae	ASK10	Activator of SKn7
S000003330	YGR098C	S. cerevisiae	ESP1	Extra Spindle Pole bodies
S000003331	YGR099W	S. cerevisiae	TEL2	TELomere maintenance
S000003332	YGR100W	S. cerevisiae	MDR1	Mac1-Dependent Regulator
S000003333	YGR101W	S. cerevisiae	PCP1	Processing of Cytochrome c Peroxidase
S000003335	YGR103W	S. cerevisiae	NOP7	NucleOlar Protein
S000003336	YGR104C	S. cerevisiae	SRB5	Suppressor of RNA polymerase B
S000003337	YGR105W	S. cerevisiae	VMA21	Vacuolar Membrane Atpase
S000003338	YGR106C	S. cerevisiae	VOA1	V0 Assembly protein
S000003340	YGR108W	S. cerevisiae	CLB1	CycLin B
S000003341	YGR109C	S. cerevisiae	CLB6	CycLin B
S000003342	YGR110W	S. cerevisiae	CLD1	CardioLipin-specific Deacylase
S000003343	YGR111W	S. cerevisiae		
S000003345	YGR113W	S. cerevisiae	DAM1	Duo1 And Mps1 interacting
S000003348	YGR116W	S. cerevisiae	SPT6	SuPpressor of Ty's
S000003350	YGR118W	S. cerevisiae	RPS23A	Ribosomal Protein of the Small subunit
S000003351	YGR119C	S. cerevisiae	NUP57	NUclear Pore
S000003353	YGR121C	S. cerevisiae	MEP1	
S000003355	YGR123C	S. cerevisiae	PPT1	Protein Phosphatase T
S000003356	YGR124W	S. cerevisiae	ASN2	ASparagiNe requiring
S000003357	YGR125W	S. cerevisiae	VSB1	Vacuolar Storage of Basic amino acids
S000003358	YGR126W	S. cerevisiae		
S000003359	YGR127W	S. cerevisiae		
S000003363	YGR131W	S. cerevisiae	FHN1	Functional Homolog of Nce102
S000003364	YGR132C	S. cerevisiae	PHB1	ProHiBitin
S000003365	YGR133W	S. cerevisiae	PEX4	PEroXin
S000003367	YGR135W	S. cerevisiae	PRE9	PRoteinase yscE
S000003368	YGR136W	S. cerevisiae	LSB1	Las Seventeen Binding protein
S000003370	YGR138C	S. cerevisiae	TPO2	Transporter of POlyamines
S000003373	YGR141W	S. cerevisiae	VPS62	Vacuolar Protein Sorting
S000003375	YGR143W	S. cerevisiae	SKN1	Suppressor of Kre Null
S000003376	YGR144W	S. cerevisiae	THI4	THIamine metabolism
S000003377	YGR145W	S. cerevisiae	ENP2	Essential Nuclear Protein
S000003379	YGR147C	S. cerevisiae	NAT2	N-terminal AcetylTransferase
S000003380	YGR148C	S. cerevisiae	RPL24B	Ribosomal Protein of the Large subunit
S000003381	YGR149W	S. cerevisiae	GPC1	GlyceroPhosphoCholine acyltransferase
S000003382	YGR150C	S. cerevisiae	CCM1	COB and COX1 mRNA maturation
S000003384	YGR152C	S. cerevisiae	RSR1	RaS-Related
S000003386	YGR154C	S. cerevisiae	GTO1	Glutathione Transferase Omega-like
S000003387	YGR155W	S. cerevisiae	CYS4	CYStathionine beta-synthase
S000003389	YGR157W	S. cerevisiae	CHO2	CHOline requiring
S000003390	YGR158C	S. cerevisiae	MTR3	MRNA TRansport
S000003391	YGR159C	S. cerevisiae	NSR1	
S000003394	YGR162W	S. cerevisiae	TIF4631	Translation Initiation Factor
S000003395	YGR163W	S. cerevisiae	GTR2	GTp binding protein Resemblance
S000003397	YGR165W	S. cerevisiae	MRPS35	Mitochondrial Ribosomal Protein, Small subunit
S000003398	YGR166W	S. cerevisiae	TRS65	TRapp Subunit
S000003399	YGR167W	S. cerevisiae	CLC1	Clathrin Light Chain
S000003401	YGR169C	S. cerevisiae	PUS6	PseudoUridine Synthase
S000003402	YGR170W	S. cerevisiae	PSD2	PhosphatidylSerine Decarboxylase
S000003403	YGR171C	S. cerevisiae	MSM1	Mitochondrial aminoacyl-tRNA Synthetase, Methionine
S000003404	YGR172C	S. cerevisiae	YIP1	Ypt-Interacting Protein
S000003405	YGR173W	S. cerevisiae	RBG2	RiBosome interacting Gtpase
S000003406	YGR174C	S. cerevisiae	CBP4	Cytochrome B mRNA Processing
S000003407	YGR175C	S. cerevisiae	ERG1	ERGosterol biosynthesis
S000003410	YGR178C	S. cerevisiae	PBP1	Pab1p-Binding Protein
S000003412	YGR180C	S. cerevisiae	RNR4	RiboNucleotide Reductase
S000003413	YGR181W	S. cerevisiae	TIM13	Translocase of the Inner Mitochondrial membrane
S000003415	YGR183C	S. cerevisiae	QCR9	ubiQuinol-cytochrome C oxidoReductase
S000003416	YGR184C	S. cerevisiae	UBR1	
S000003417	YGR185C	S. cerevisiae	TYS1	TYrosyl-tRNA Synthetase
S000003418	YGR186W	S. cerevisiae	TFG1	Transcription Factor G
S000003419	YGR187C	S. cerevisiae	HGH1	HmG1/2 Homolog
S000003420	YGR188C	S. cerevisiae	BUB1	Budding Uninhibited by Benzimidazole
S000003421	YGR189C	S. cerevisiae	CRH1	Congo Red Hypersensitive
S000003423	YGR191W	S. cerevisiae	HIP1	HIstidine Permease
S000003424	YGR192C	S. cerevisiae	TDH3	Triose-phosphate DeHydrogenase
S000003425	YGR193C	S. cerevisiae	PDX1	Pyruvate Dehydrogenase complex protein X
S000003426	YGR194C	S. cerevisiae	XKS1	XyluloKinaSe
S000003427	YGR195W	S. cerevisiae	SKI6	SuperKIller
S000003429	YGR197C	S. cerevisiae	SNG1	
S000003431	YGR199W	S. cerevisiae	PMT6	Protein O-MannosylTransferase
S000003432	YGR200C	S. cerevisiae	ELP2	ELongator Protein
S000003433	YGR201C	S. cerevisiae		
S000003434	YGR202C	S. cerevisiae	PCT1	Phosphocholine CytidylylTransferase
S000003435	YGR203W	S. cerevisiae	YCH1	Yeast Cdc25 Homolog
S000003436	YGR204W	S. cerevisiae	ADE3	ADEnine requiring
S000003437	YGR205W	S. cerevisiae	TDA10	Topoisomerase I Damage Affected
S000003439	YGR207C	S. cerevisiae	CIR1	Changed Intracellular Redox state
S000003440	YGR208W	S. cerevisiae	SER2	SERine requiring
S000003441	YGR209C	S. cerevisiae	TRX2	ThioRedoXin
S000003442	YGR210C	S. cerevisiae		
S000003443	YGR211W	S. cerevisiae	ZPR1	Zinc finger PRotein
S000003444	YGR212W	S. cerevisiae	SLI1	Sphingosine-Like Immunosuppressant resistant gene
S000003445	YGR213C	S. cerevisiae	RTA1	Resistance To 7-Aminocholesterol
S000003446	YGR214W	S. cerevisiae	RPS0A	Ribosomal Protein of the Small subunit
S000003447	YGR215W	S. cerevisiae	RSM27	Ribosomal Small subunit of Mitochondria
S000003448	YGR216C	S. cerevisiae	GPI1	GlycosylPhosphatidylInositol anchoring biosynthesis
S000003449	YGR217W	S. cerevisiae	CCH1	Calcium Channel Homolog
S000003450	YGR218W	S. cerevisiae	CRM1	Chromosome Region Maintenance
S000003452	YGR220C	S. cerevisiae	MRPL9	Mitochondrial Ribosomal Protein, Large subunit
S000003455	YGR223C	S. cerevisiae	HSV2	Homologous with SVP1
S000003456	YGR224W	S. cerevisiae	AZR1	Acetic Acid and AZoles Resistance
S000003457	YGR225W	S. cerevisiae	AMA1	Activator of Meiotic APC/C
S000003459	YGR227W	S. cerevisiae	DIE2	Derepression of ITR1 Expression
S000003461	YGR229C	S. cerevisiae	SMI1	Suppressor of MAR Inhibitor
S000003463	YGR231C	S. cerevisiae	PHB2	ProHiBitin
S000003464	YGR232W	S. cerevisiae	NAS6	Non-ATPase Subunit 6
S000003465	YGR233C	S. cerevisiae	PHO81	PHOsphate metabolism
S000003466	YGR234W	S. cerevisiae	YHB1	Yeast flavoHemogloBin
S000003467	YGR235C	S. cerevisiae	MIC26	MItochondrial contact site and Cristae organizing system
S000003472	YGR240C	S. cerevisiae	PFK1	PhosphoFructoKinase
S000003473	YGR241C	S. cerevisiae	YAP1802	Yeast Assembly Polypeptide
S000003475	YGR243W	S. cerevisiae	MPC3	Mitochondrial Pyruvate Carrier
S000003476	YGR244C	S. cerevisiae	LSC2	Ligase of Succinyl-CoA
S000003477	YGR245C	S. cerevisiae	SDA1	Severe Depolymerization of Actin
S000003478	YGR246C	S. cerevisiae	BRF1	B-Related Factor
S000003479	YGR247W	S. cerevisiae	CPD1	Cyclic nucleotide PhosphoDiesterase
S000003480	YGR248W	S. cerevisiae	SOL4	Suppressor Of Los1-1
S000003482	YGR250C	S. cerevisiae	RIE1	Restoration of Impaired growths of ERMES-lacking cells
S000003484	YGR252W	S. cerevisiae	GCN5	General Control Nonderepressible
S000003485	YGR253C	S. cerevisiae	PUP2	PUtative Proteasome subunit
S000003486	YGR254W	S. cerevisiae	ENO1	ENOlase
S000003487	YGR255C	S. cerevisiae	COQ6	COenzyme Q
S000003488	YGR256W	S. cerevisiae	GND2	6-phosphoGlucoNateDehydrogenase
S000003489	YGR257C	S. cerevisiae	MTM1	Manganese Trafficking factor for Mitochondrial SOD2
S000003490	YGR258C	S. cerevisiae	RAD2	RADiation sensitivity
S000003492	YGR260W	S. cerevisiae	TNA1	Transporter of Nicotinic Acid
S000003493	YGR261C	S. cerevisiae	APL6	clathrin Adaptor Protein complex Large chain
S000003494	YGR262C	S. cerevisiae	BUD32	BUD site selection
S000003495	YGR263C	S. cerevisiae	SAY1	Steryl Acetyl hYdrolase
S000003496	YGR264C	S. cerevisiae	MES1	MEthionyl-tRNA Synthetase
S000003498	YGR266W	S. cerevisiae		
S000003499	YGR267C	S. cerevisiae	FOL2	FOLic acid synthesis
S000003500	YGR268C	S. cerevisiae	HUA1	
S000003502	YGR270W	S. cerevisiae	YTA7	Yeast Tat-binding Analog
S000003503	YGR271W	S. cerevisiae	SLH1	SKI2-Like Helicase
S000003505	YGR273C	S. cerevisiae		
S000003506	YGR274C	S. cerevisiae	TAF1	TATA binding protein-Associated Factor
S000003508	YGR276C	S. cerevisiae	RNH70	RNase H
S000003509	YGR277C	S. cerevisiae	CAB4	Coenzyme A Biosynthesis
S000003510	YGR278W	S. cerevisiae	CWC22	Complexed With Cef1p
S000003511	YGR279C	S. cerevisiae	SCW4	Soluble Cell Wall protein
S000003513	YGR281W	S. cerevisiae	YOR1	Yeast Oligomycin Resistance
S000003514	YGR282C	S. cerevisiae	BGL2	Beta-GLucanase
S000003515	YGR283C	S. cerevisiae	UPA1	Urb2 particle associated methyl-transferase 
S000003516	YGR284C	S. cerevisiae	ERV29	ER Vesicle
S000003517	YGR285C	S. cerevisiae	ZUO1	ZUOtin
S000003518	YGR286C	S. cerevisiae	BIO2	BIOtin
S000003520	YGR288W	S. cerevisiae	MAL13	MALtose fermentation
S000003521	YGR289C	S. cerevisiae	MAL11	MALtose fermentation
S000003529	YHR001W-A	S. cerevisiae	QCR10	ubiQuinol-cytochrome C oxidoReductase
S000003530	YHR005C-A	S. cerevisiae	TIM10	Translocase of the Inner Membrane
S000003537	YIL082W-A	S. cerevisiae		
S000003538	YJL001W	S. cerevisiae	PRE3	PRoteinase yscE
S000003539	YJL002C	S. cerevisiae	OST1	OligoSaccharylTransferase
S000003540	YJL003W	S. cerevisiae	COX16	Cytochrome c OXidase
S000003541	YJL004C	S. cerevisiae	SYS1	Suppressor of Ypt Six
S000003542	YJL005W	S. cerevisiae	CYR1	CYclic AMP Requirement
S000003543	YJL006C	S. cerevisiae	CTK2	Carboxy-Terminal domain Kinase
S000003545	YJL008C	S. cerevisiae	CCT8	Chaperonin Containing TCP-1
S000003547	YJL010C	S. cerevisiae	NOP9	NucleOlar Protein
S000003548	YJL011C	S. cerevisiae	RPC17	RNA Polymerase C
S000003549	YJL012C	S. cerevisiae	VTC4	Vacuolar Transporter Chaperone
S000003550	YJL013C	S. cerevisiae	MAD3	Mitotic Arrest-Deficient
S000003551	YJL014W	S. cerevisiae	CCT3	Chaperonin Containing TCP-1
S000003561	YJL024C	S. cerevisiae	APS3	clathrin Associated Protein complex Small subunit
S000003562	YJL025W	S. cerevisiae	RRN7	Regulation of RNA polymerase I
S000003563	YJL026W	S. cerevisiae	RNR2	RiboNucleotide Reductase
S000003566	YJL029C	S. cerevisiae	VPS53	Vacuolar Protein Sorting
S000003567	YJL030W	S. cerevisiae	MAD2	Mitotic Arrest-Deficient
S000003568	YJL031C	S. cerevisiae	BET4	Blocked Early in Transport
S000003570	YJL033W	S. cerevisiae	HCA4	Helicase CA
S000003571	YJL034W	S. cerevisiae	KAR2	KARyogamy
S000003572	YJL035C	S. cerevisiae	TAD2	tRNA-specific Adenosine Deaminase
S000003573	YJL036W	S. cerevisiae	SNX4	Sorting NeXin
S000003576	YJL039C	S. cerevisiae	NUP192	NUclear Pore
S000003577	YJL041W	S. cerevisiae	NSP1	NucleoSkeletal-like Protein
S000003578	YJL042W	S. cerevisiae	MHP1	MAP-Homologous Protein
S000003580	YJL044C	S. cerevisiae	GYP6	Gtpase-activating protein of Ypt6 Protein
S000003581	YJL045W	S. cerevisiae	SDH9	Succinate DeHydrogenase
S000003582	YJL046W	S. cerevisiae	AIM22	Altered Inheritance rate of Mitochondria
S000003585	YJL049W	S. cerevisiae	CHM7	CHarged Multivesicular body protein
S000003586	YJL050W	S. cerevisiae	MTR4	Mrna TRansport
S000003588	YJL052W	S. cerevisiae	TDH1	Triose-phosphate DeHydrogenase
S000003589	YJL053W	S. cerevisiae	PEP8	carboxyPEPtidase Y-deficient
S000003590	YJL054W	S. cerevisiae	TIM54	Translocase of the Inner Mitochondrial membrane
S000003591	YJL055W	S. cerevisiae	LOG1	LOnely Guy
S000003593	YJL057C	S. cerevisiae	IKS1	
S000003594	YJL058C	S. cerevisiae	BIT61	Binding partner of Tor2p
S000003595	YJL059W	S. cerevisiae	YHC3	Yeast Homolog of human Cln3
S000003596	YJL060W	S. cerevisiae	BNA3	Biosynthesis of Nicotinic Acid
S000003597	YJL061W	S. cerevisiae	NUP82	NUclear Pore
S000003598	YJL062W	S. cerevisiae	LAS21	Local Anestheticum Sensitive
S000003599	YJL063C	S. cerevisiae	MRPL8	Mitochondrial Ribosomal Protein, Large subunit
S000003602	YJL066C	S. cerevisiae	MPM1	Mitochondrial Peculiar Membrane protein
S000003604	YJL068C	S. cerevisiae		
S000003605	YJL069C	S. cerevisiae	UTP18	U Three Protein
S000003606	YJL070C	S. cerevisiae		
S000003607	YJL071W	S. cerevisiae	ARG2	ARGinine requiring
S000003608	YJL072C	S. cerevisiae	PSF2	Partner of Sld Five
S000003610	YJL074C	S. cerevisiae	SMC3	Stability of MiniChromosomes
S000003615	YJL079C	S. cerevisiae	PRY1	Pathogen Related in Yeast
S000003616	YJL080C	S. cerevisiae	SCP160	S. cerevisiae protein involved in the Control of Ploidy
S000003617	YJL081C	S. cerevisiae	ARP4	Actin-Related Protein
S000003618	YJL082W	S. cerevisiae	IML2	Increased Minichromosome Loss
S000003620	YJL084C	S. cerevisiae	ALY2	Arrestin-Like Yeast protein
S000003621	YJL085W	S. cerevisiae	EXO70	EXOcyst
S000003623	YJL087C	S. cerevisiae	TRL1	tRNA Ligase
S000003624	YJL088W	S. cerevisiae	ARG3	ARGinine requiring
S000003626	YJL090C	S. cerevisiae	DPB11	DNA Polymerase B (II)
S000003627	YJL091C	S. cerevisiae	GWT1	GPI-anchored Wall protein Transfer
S000003628	YJL092W	S. cerevisiae	SRS2	Suppressor of Rad Six
S000003629	YJL093C	S. cerevisiae	TOK1	
S000003631	YJL095W	S. cerevisiae	BCK1	Bypass of C Kinase
S000003632	YJL096W	S. cerevisiae	MRPL49	Mitochondrial Ribosomal Protein, Large subunit
S000003633	YJL097W	S. cerevisiae	PHS1	PTPLA Homolog involved in Sphingolipid biosynthesis 1
S000003635	YJL099W	S. cerevisiae	CHS6	CHitin Synthase-related
S000003636	YJL100W	S. cerevisiae	LSB6	Las Seventeen Binding protein
S000003637	YJL101C	S. cerevisiae	GSH1	glutathione (GSH)
S000003638	YJL102W	S. cerevisiae	MEF2	Mitochondrial Elongation Factor
S000003639	YJL103C	S. cerevisiae	GSM1	Glucose Starvation Modulator
S000003640	YJL104W	S. cerevisiae	PAM16	Presequence translocase-Associated Motor
S000003641	YJL105W	S. cerevisiae	SET4	SET domain-containing
S000003642	YJL106W	S. cerevisiae	IME2	Inducer of MEiosis
S000003644	YJL108C	S. cerevisiae	PRM10	Pheromone-Regulated Membrane protein
S000003645	YJL109C	S. cerevisiae	UTP10	U Three Protein
S000003647	YJL111W	S. cerevisiae	CCT7	Chaperonin Containing TCP-1
S000003648	YJL112W	S. cerevisiae	MDV1	Mitochondrial DiVision
S000003651	YJL115W	S. cerevisiae	ASF1	Anti-Silencing Function
S000003652	YJL116C	S. cerevisiae	NCA3	Nuclear Control of ATPase
S000003657	YJL121C	S. cerevisiae	RPE1	Ribulose 5-Phosphate Epimerase
S000003659	YJL123C	S. cerevisiae	MTC1	Maintenance of Telomere Capping
S000003660	YJL124C	S. cerevisiae	LSM1	Like SM
S000003661	YJL125C	S. cerevisiae	GCD14	General Control Nonderepressible
S000003662	YJL126W	S. cerevisiae	NIT2	NITrilase superfamily
S000003663	YJL127C	S. cerevisiae	SPT10	SuPpressor of Ty
S000003664	YJL128C	S. cerevisiae	PBS2	Polymyxin B Sensitivity
S000003665	YJL129C	S. cerevisiae	TRK1	TRansport of potassium (K)
S000003666	YJL130C	S. cerevisiae	URA2	URAcil requiring
S000003668	YJL132W	S. cerevisiae		
S000003669	YJL133W	S. cerevisiae	MRS3	Mitochondrial RNA Splicing
S000003670	YJL134W	S. cerevisiae	LCB3	Long-Chain Base
S000003672	YJL136C	S. cerevisiae	RPS21B	Ribosomal Protein of the Small subunit
S000003673	YJL137C	S. cerevisiae	GLG2	Glycogenin-Like Gene
S000003674	YJL138C	S. cerevisiae	TIF2	Translation Initiation Factor
S000003675	YJL139C	S. cerevisiae	YUR1	Yeast Unknown Reading frame
S000003676	YJL140W	S. cerevisiae	RPB4	RNA Polymerase B
S000003677	YJL141C	S. cerevisiae	YAK1	Yet Another Kinase
S000003679	YJL143W	S. cerevisiae	TIM17	Translocase of the Inner Mitochondrial membrane
S000003681	YJL145W	S. cerevisiae	SFH5	Sec Fourteen Homolog
S000003687	YJL151C	S. cerevisiae	SNA3	Sensitivity to NA+
S000003689	YJL153C	S. cerevisiae	INO1	INOsitol requiring
S000003690	YJL154C	S. cerevisiae	VPS35	Vacuolar Protein Sorting
S000003691	YJL155C	S. cerevisiae	FBP26	Fructose BisPhosphatase
S000003692	YJL156C	S. cerevisiae	SSY5	Sulfonylurea Sensitive on YPD
S000003694	YJL158C	S. cerevisiae	CIS3	CIk1 Suppressing
S000003695	YJL159W	S. cerevisiae	HSP150	Heat Shock Protein
S000003696	YJL160C	S. cerevisiae	PIR5	Protein with Internal Repeats
S000003699	YJL163C	S. cerevisiae		
S000003700	YJL164C	S. cerevisiae	TPK1	Takashi's Protein Kinase
S000003701	YJL165C	S. cerevisiae	HAL5	HALotolerance
S000003702	YJL166W	S. cerevisiae	QCR8	ubiQuinol-cytochrome C oxidoReductase
S000003703	YJL167W	S. cerevisiae	ERG20	ERGosterol biosynthesis
S000003704	YJL168C	S. cerevisiae	SET2	SET domain-containing
S000003707	YJL171C	S. cerevisiae	TOH1	TOS One Homolog
S000003708	YJL172W	S. cerevisiae	CPS1	CarboxyPeptidase yscS
S000003710	YJL174W	S. cerevisiae	KRE9	Killer toxin REsistant
S000003712	YJL176C	S. cerevisiae	SWI3	SWItching deficient
S000003713	YJL177W	S. cerevisiae	RPL17B	Ribosomal Protein of the Large subunit
S000003714	YJL178C	S. cerevisiae	ATG27	AuTophaGy related
S000003715	YJL179W	S. cerevisiae	PFD1	PreFolDin
S000003716	YJL180C	S. cerevisiae	ATP12	ATP synthase
S000003719	YJL183W	S. cerevisiae	MNN11	MaNNosyltransferase
S000003722	YJL186W	S. cerevisiae	MNN5	MaNNosyltransferase
S000003723	YJL187C	S. cerevisiae	SWE1	Saccharomyces WEe1
S000003725	YJL189W	S. cerevisiae	RPL39	Ribosomal Protein of the Large subunit
S000003726	YJL190C	S. cerevisiae	RPS22A	Ribosomal Protein of the Small subunit
S000003727	YJL191W	S. cerevisiae	RPS14B	Ribosomal Protein of the Small subunit
S000003728	YJL192C	S. cerevisiae	SOP4	Suppressor Of Pma1-7
S000003729	YJL193W	S. cerevisiae		
S000003730	YJL194W	S. cerevisiae	CDC6	Cell Division Cycle
S000003732	YJL196C	S. cerevisiae	ELO1	ELOngation defective
S000003733	YJL197W	S. cerevisiae	UBP12	UBiquitin-specific Protease
S000003734	YJL198W	S. cerevisiae	PHO90	PHOsphate metabolism
S000003736	YJL200C	S. cerevisiae	ACO2	ACOnitase
S000003737	YJL201W	S. cerevisiae	ECM25	ExtraCellular Mutant
S000003739	YJL203W	S. cerevisiae	PRP21	Pre-mRNA Processing
S000003740	YJL204C	S. cerevisiae	RCY1	ReCYcling
S000003741	YJL206C	S. cerevisiae		
S000003742	YJL205C	S. cerevisiae	NCE101	NonClassical Export
S000003743	YJL207C	S. cerevisiae	LAA1	Large AP-1 Accessory
S000003744	YJL208C	S. cerevisiae	NUC1	NUClease
S000003748	YJL212C	S. cerevisiae	OPT1	OligoPeptide Transporter
S000003750	YJL214W	S. cerevisiae	HXT8	HeXose Transporter
S000003754	YJL218W	S. cerevisiae		
S000003755	YJL219W	S. cerevisiae	HXT9	HeXose Transporter
S000003758	YJL222W	S. cerevisiae	VTH2	Vps Ten Homolog
S000003761	YJR001W	S. cerevisiae	AVT1	Amino acid Vacuolar Transport
S000003762	YJR002W	S. cerevisiae	MPP10	M Phase Phosphoproteins
S000003765	YJR005W	S. cerevisiae	APL1	clathrin Adaptor Protein complex Large chain
S000003766	YJR006W	S. cerevisiae	POL31	POLymerase
S000003767	YJR007W	S. cerevisiae	SUI2	SUppressor of Initiator codon
S000003768	YJR008W	S. cerevisiae	MHO1	Memo HOmolog
S000003769	YJR009C	S. cerevisiae	TDH2	Triose-phosphate DeHydrogenase
S000003770	YJR010C-A	S. cerevisiae	SPC1	Signal Peptidase Complex
S000003771	YJR010W	S. cerevisiae	MET3	METhionine requiring
S000003773	YJR012C	S. cerevisiae		
S000003774	YJR013W	S. cerevisiae	GPI14	GlycosylPhosphatidylInositol anchor biosynthesis
S000003775	YJR014W	S. cerevisiae	TMA22	Translation Machinery Associated
S000003776	YJR015W	S. cerevisiae		
S000003777	YJR016C	S. cerevisiae	ILV3	IsoLeucine-plus-Valine requiring
S000003778	YJR017C	S. cerevisiae	ESS1	ESSential
S000003783	YJR022W	S. cerevisiae	LSM8	Like SM
S000003785	YJR024C	S. cerevisiae	MDE1	Methylthioribulose-1-phosphate DEhydratase
S000003786	YJR025C	S. cerevisiae	BNA1	Biosynthesis of Nicotinic Acid
S000003792	YJR031C	S. cerevisiae	GEA1	Guanine nucleotide Exchange on ARF
S000003793	YJR032W	S. cerevisiae	CPR7	Cyclosporin-sensitive Proline Rotamase
S000003794	YJR033C	S. cerevisiae	RAV1	Regulator of (H+)-ATPase in Vacuolar membrane
S000003795	YJR034W	S. cerevisiae	PET191	PETite colonies
S000003796	YJR035W	S. cerevisiae	RAD26	RADiation sensitive
S000003797	YJR036C	S. cerevisiae	HUL4	Hect Ubiquitin Ligase
S000003801	YJR040W	S. cerevisiae	GEF1	Glycerol Ethanol, Ferric requiring
S000003803	YJR042W	S. cerevisiae	NUP85	NUclear Pore
S000003805	YJR044C	S. cerevisiae	VPS55	Vacuolar Protein Sorting
S000003806	YJR045C	S. cerevisiae	SSC1	Stress-Seventy subfamily C
S000003807	YJR046W	S. cerevisiae	TAH11	Topo-A Hypersensitive
S000003808	YJR047C	S. cerevisiae	ANB1	ANaeroBically induced
S000003809	YJR048W	S. cerevisiae	CYC1	CYtochrome C
S000003810	YJR049C	S. cerevisiae	UTR1	Unidentified TRanscript
S000003811	YJR050W	S. cerevisiae	ISY1	Interactor of SYf1p
S000003812	YJR051W	S. cerevisiae	OSM1	OSMotic sensitivity
S000003813	YJR052W	S. cerevisiae	RAD7	RADiation sensitive
S000003815	YJR054W	S. cerevisiae	KCH1	Potassium (K) regulator of CcH1
S000003816	YJR055W	S. cerevisiae	HIT1	HIgh Temperature growth
S000003817	YJR056C	S. cerevisiae		
S000003818	YJR057W	S. cerevisiae	CDC8	Cell Division Cycle
S000003819	YJR058C	S. cerevisiae	APS2	clathrin Associated Protein complex Small subunit
S000003820	YJR059W	S. cerevisiae	PTK2	Putative serine/Threonine protein Kinase
S000003821	YJR060W	S. cerevisiae	CBF1	Centromere Binding Factor
S000003823	YJR062C	S. cerevisiae	NTA1	N-Terminal Amidase
S000003824	YJR063W	S. cerevisiae	RPA12	RNA Polymerase A
S000003825	YJR064W	S. cerevisiae	CCT5	Chaperonin Containing TCP-1
S000003826	YJR065C	S. cerevisiae	ARP3	Actin-Related Protein
S000003827	YJR066W	S. cerevisiae	TOR1	Target Of Rapamycin
S000003828	YJR067C	S. cerevisiae	YAE1	
S000003829	YJR068W	S. cerevisiae	RFC2	Replication Factor C
S000003830	YJR069C	S. cerevisiae	HAM1	6-n-HydroxylAMinopurine sensitive
S000003831	YJR070C	S. cerevisiae	LIA1	Ligand of eIF5A
S000003833	YJR072C	S. cerevisiae	NPA3	Nucleolar Preribosomal Associated
S000003834	YJR073C	S. cerevisiae	OPI3	OverProducer of Inositol
S000003835	YJR074W	S. cerevisiae	MOG1	Multicopy suppressor Of ts Gsp1
S000003836	YJR075W	S. cerevisiae	HOC1	Homologous to OCh1
